grid_schema_version,shard_id,log10_target_error,estimator_variant,trotter_reps,mpf_branch_count,mpf_segments,schema_version,run_id,generated_at_utc,config_digest,sweep,hamiltonian_model,hamiltonian_name,model_parameters_json,system_qubits,evolution_time,time_scaling_mode,time_scaling_coefficient,target_error,hamiltonian_alpha,hamiltonian_term_count,method_id,method_family,method_label,error_policy,estimate_category,trotter_order,mpf_term_count,mpf_formal_order,mpf_branch_count_policy,mpf_branch_count_policy_extensiveness_g,mpf_branch_count_policy_target_error,segment_count,mpf_r_error,mpf_r_time_1,mpf_r_time_2,mpf_active_constraints_json,mpf_mu_upper,mpf_truncation_order_p0,mpf_auxiliary_error,mpf_auxiliary_allocation_fraction,mpf_local_commutator_error,mpf_local_truncated_bch_error,mpf_refined_lemma9_remainder,mpf_refined_lemma10_remainder,mpf_total_branchwise_bch_remainder,mpf_local_step_error,mpf_repeated_global_error,mpf_legacy_first_time_limit,mpf_legacy_first_condition_passed,mpf_second_time_limit,mpf_schedule_weights_json,mpf_schedule_weighted_extensiveness,mpf_exact_commutator_cutoff,mpf_locality_fallback,mpf_locality_fallback_reason,mpf_refined_tail_fallback_status,mpf_local_error_dominance,mpf_bound_policy,mpf_bound_candidates_json,query_count,qsvt_degree,trotter_partition,trotter_group_count,bound_value,bound_prefactor,bound_method,bound_reference,bound_theorem_or_equations,bound_components_json,bound_rigorous,bound_scope,bound_target_satisfied,hamiltonian_decomposition,bound_assumptions_json,bound_fallback_reason,max_nested_commutator_order,max_exact_nested_commutator_order,locality_compatible,commutator_cap_fallback,commutator_bounds_json,circuit_bound_scope,circuit_bound_rigorous,circuit_target_satisfied,algorithm_error_budget,mpf_schedule,mpf_exponents_json,mpf_coefficients_json,mpf_coefficient_l1_norm,mpf_padding_weight,mpf_exponent_sum,mpf_exponent_sum_source,mpf_explicit_schedule_available,mpf_physical_branch_count,mpf_negative_coefficient_count,mpf_padding_branch_count,mpf_sign_branch_count,mpf_active_branch_count,mpf_unused_branch_state_count,mpf_prepare_calls_per_segment,mpf_select_calls_per_segment,mpf_good_reflections_per_segment,mpf_base_lcu_uses_per_segment,lcu_normalization,amplitude_amplification,amplitude_amplification_rounds,good_subspace,nominal_success_probability,total_qubits,rotation_count,toffoli_count,depth,t_count,cnot_count,counting_mode,rotation_synthesis_error,empirical_calibration_id,empirical_calibration_model,empirical_coefficient_model,empirical_coefficient_value,empirical_calibration_size_min,empirical_calibration_size_max,empirical_calibration_time_min,empirical_calibration_time_max,empirical_size_extrapolated,empirical_time_extrapolated,empirical_active_constraint,package_version,python_version,qiskit_version,git_commit,git_dirty,status,error_type,error_message
1.0,heisenberg_chain:N062,-1.0,commutator,43999.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,trotter-p2,trotter,Trotter p=2,analytical,analytical,2.0,,,,,,43999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,individual,245.0,0.08999753141155287,731.0399999999985,childs-commutator,"Childs, Su, Tran, Wiebe, and Zhu, arXiv:1912.08854",Propositions 9--10,"{""prefactor"":731.0399999999985}",True,implemented-product-formula,True,,"[""the resolved ordered Hamiltonian groups match the implemented formula""]",,,,,,,implemented-product-formula,True,True,0.09000000000000001,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,21515511.0,0.0,-1.0,2108520078.0,32141539.0,analytical-model,0.010000000000000002,,,,,,,,,,,,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,empirical,13381.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,trotter-p2-empirical,trotter,Trotter p=2 [empirical],empirical-operator-norm,empirical,2.0,,,,,,13381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,individual,245.0,0.08999129702462355,67.6086998261,empirical-operator-norm,Repository empirical operator-norm calibration study v1 (2026-08-10),reviewed calibration opnorm-v1-heisenberg-open-trotter-p2; artifact docs/calibration_data/empirical_1d_v1_accepted.json,"{""prefactor"":67.6086998261}",False,implemented-product-formula,False,,"[""the resolved ordered Hamiltonian groups match the implemented formula"",""the fixed formal-order powers in time and segments apply"",""the reviewed affine size calibration extrapolates as flagged""]",,,,,,,implemented-product-formula,False,False,0.09000000000000001,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,6543309.0,0.0,-1.0,608527737.0,9774903.0,analytical-model,0.010000000000000002,opnorm-v1-heisenberg-open-trotter-p2,heisenberg_chain,affine-aN-plus-b,67.6086998261,4.0,12.0,4.0,12.0,True,True,formula,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,commutator,4298.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,trotter-p4,trotter,Trotter p=4,analytical,analytical,4.0,,,,,,4298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commuting,3.0,0.08993230936227907,33498.31351643068,schubert-mendl-commutator,"Schubert and Mendl, arXiv:2306.10603",Theorem 1,"{""prefactor"":33498.31351643068}",True,implemented-product-formula,True,,"[""the resolved ordered Hamiltonian groups match the implemented formula""]",,,,,,,implemented-product-formula,True,True,0.09000000000000001,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,8553020.0,0.0,-1.0,803983880.0,12777165.0,analytical-model,0.010000000000000002,,,,,,,,,,,,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,empirical,645.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,trotter-p4-empirical,trotter,Trotter p=4 [empirical],empirical-operator-norm,empirical,4.0,,,,,,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commuting,3.0,0.08975224498421595,16.9560907198,empirical-operator-norm,Repository empirical operator-norm calibration study v1 (2026-08-10),reviewed calibration opnorm-v1-heisenberg-open-trotter-p4; artifact docs/calibration_data/empirical_1d_v1_accepted.json,"{""prefactor"":16.9560907198}",False,implemented-product-formula,False,,"[""the resolved ordered Hamiltonian groups match the implemented formula"",""the fixed formal-order powers in time and segments apply"",""the reviewed affine size calibration extrapolates as flagged""]",,,,,,,implemented-product-formula,False,False,0.09000000000000001,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,1283550.0,0.0,-1.0,110385300.0,1917467.0,analytical-model,0.010000000000000002,opnorm-v1-heisenberg-open-trotter-p4,heisenberg_chain,affine-aN-plus-b,16.9560907198,4.0,12.0,4.0,12.0,True,True,formula,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,commutator,2844.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,trotter-p6,trotter,Trotter p=6,analytical,analytical,6.0,,,,,,2844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commuting,3.0,0.08995312802258995,13516118.662116336,schubert-mendl-commutator,"Schubert and Mendl, arXiv:2306.10603",Theorem 1,"{""prefactor"":13516118.662116336}",True,implemented-product-formula,True,,"[""the resolved ordered Hamiltonian groups match the implemented formula""]",,,,,,,implemented-product-formula,True,True,0.09000000000000001,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,28297800.0,0.0,-1.0,2829780000.0,42273449.0,analytical-model,0.010000000000000002,,,,,,,,,,,,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,empirical,372.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,trotter-p6-empirical,trotter,Trotter p=6 [empirical],empirical-operator-norm,empirical,6.0,,,,,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commuting,3.0,0.0003271787786351176,0.24620730799999996,empirical-operator-norm,Repository empirical operator-norm calibration study v1 (2026-08-10),reviewed calibration opnorm-v1-heisenberg-open-trotter-p6; artifact docs/calibration_data/empirical_1d_v1_accepted.json,"{""prefactor"":0.24620730799999996}",False,implemented-product-formula,False,,"[""the resolved ordered Hamiltonian groups match the implemented formula"",""the fixed formal-order powers in time and segments apply"",""the reviewed affine size calibration extrapolates as flagged""]",,,,,,,implemented-product-formula,False,False,0.09000000000000001,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,3701400.0,0.0,-1.0,336827400.0,5529439.0,analytical-model,0.010000000000000002,opnorm-v1-heisenberg-open-trotter-p6,heisenberg_chain,affine-aN-plus-b,0.24620730799999996,4.0,12.0,4.0,12.0,True,True,asymptotic-domain,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,jacobi-anger,,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,qsvt,qsvt,QSVT,jacobi-anger-rigorous,analytical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101931.0,16989.0,,,0.013647348680316928,,jacobi-anger-polynomial-oaa,"Martyn et al., arXiv:2105.02859, Eqs. (76)--(77)",Jacobi--Anger tails plus exact cubic OAA identity,"{""oaa-unitarity-defect-distortion"":0.006858320743506051,""scaled-polynomial-error"":0.006789027936810877}",True,ideal-qsvt-oaa-good-block,True,,"[""the cosine and sine polynomials are implemented exactly"",""the unamplified good block is exactly Q/2""]",,,,,,,implemented-qsvt-floating-phase-circuit,False,False,0.09000000000000001,,,,,,,,,,,,,,,,,,,2.0,one robust OAA round,1.0,"component, quadrature, and index registers all-zero",,80.0,52188684.0,201619644.0,-1.0,6129724344.0,1305125280.0,analytical-model,0.010000000000000002,,,,,,,,,,,,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,empirical,,7.0,78.0,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,mpf-j-mizuta2026-theorem6-empirical-operator-norm,multiproduct,MPF J=Mizuta Theorem 6 (resolved per point) [empirical operator norm],empirical-operator-norm,empirical,,7.0,14.0,mizuta2026-theorem6,6.300000000000004,0.09000000000000001,78.0,,,,[],,,,,,,,,,,,,,,[],,,,,,,empirical-operator-norm,[],10764.0,,,,2.1153232434075942e-05,8.4884e-06,empirical-operator-norm,Repository empirical operator-norm calibration study v1 (2026-08-10),reviewed calibration opnorm-v1-heisenberg-open-mpf-new-m7; fixed formal powers,"{""empirical_coefficient"":8.4884e-06}",False,ideal-mpf,False,ordered individual Pauli terms,"[""the fixed formal-order powers in time and segments apply"",""the empirical estimate concerns the repeated ideal MPF operator"",""the reviewed affine size calibration extrapolates as flagged""]",,0.0,0.0,False,False,{},repeated-shared-ancilla-good-block,False,False,0.09000000000000001,new,"[1,2,3,4,5,9,22]","[2.9953607852158573e-09,-2.9318124556219793e-05,0.003468573778195489,-0.04863485570038276,0.1308718708891307,-0.4341006887393225,1.3484244149015747]",1.965529725128523,0.034470274871476914,46.0,registered-exact,True,7.0,3.0,2.0,4.0,9.0,7.0,6.0,3.0,2.0,3.0,2.0,one robust OAA round per segment,78.0,branch register all-zero,,69.0,10534212.0,7098.0,-1.0,1000778532.0,18440592.0,analytical-model,0.010000000000000002,opnorm-v1-heisenberg-open-mpf-new-m7,heisenberg_chain,affine-aN-plus-b,8.4884e-06,4.0,8.0,4.0,12.0,True,True,asymptotic-domain,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.0,commutator,,7.0,56373.0,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.1,201.6000000000007,245,mpf-j-mizuta2026-theorem6-mizuta2026-commutator-ideal-rigorous,multiproduct,MPF J=Mizuta Theorem 6 (resolved per point) [Mizuta 2026 refined commutator],mizuta2026-commutator-ideal-rigorous,analytical,,7.0,14.0,mizuta2026-theorem6,6.300000000000004,0.09000000000000001,56373.0,56373.0,,40657.0,"[""error""]",163.93948651715138,14.0,,,1.4694962370407436e-06,1.838778453014661e-21,1.5722643800824433e-30,1.838778451442396e-21,1.838778453014661e-21,1.4694962370407458e-06,0.08999448112804764,1.763997603736675e-05,False,0.0015249529281272023,"[1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002]",6.300000000000007,3.0,True,exact commutator transition cap reached; locality bound used,not-used,commutator,mizuta2026-commutator-ideal-rigorous,[],7779474.0,,,,0.08999448112804764,3.526633632001667e+38,mizuta2026-commutator-ideal-rigorous,"Mizuta, Quantum 10, 1974 (2026), arXiv:2507.06557v4","Theorem 4, Eqs. (47)--(49), with direct Lemmas 9--10 BCH remainder","{""error_predicate_satisfied"":1.0,""extensiveness_g"":6.300000000000004,""joint_predicate_satisfied"":1.0,""legacy_first_condition_passed"":0.0,""legacy_first_time_limit"":1.763997603736675e-05,""local_commutator_error"":1.4694962370407436e-06,""local_step_error"":1.4694962370407458e-06,""local_truncated_bch_error"":1.838778453014661e-21,""locality_k"":2.0,""mu_upper"":163.93948651715138,""refined_lemma10_remainder"":1.838778451442396e-21,""refined_lemma9_remainder"":1.5722643800824433e-30,""refined_tail_fallback"":0.0,""repeated_global_error"":0.08999448112804764,""schedule_weighted_extensiveness"":6.300000000000007,""second_time_limit"":0.0015249529281272023,""time_2_predicate_satisfied"":1.0,""total_branchwise_bch_remainder"":1.838778453014661e-21,""truncation_order_p0"":14.0}",True,ideal-mpf,True,ordered individual Pauli terms,"[""individual Pauli summands define the ordered H_gamma decomposition"",""the actual Strang factors define schedule-weighted g_alpha extensiveness"",""Lemma 9 and Lemma 10 positive majorants directly certify the BCH remainder"",""the scalar-flow/Cauchy refined tail certificate is used"",""Theorem 4 second time hypothesis is satisfied"",""the repeated ideal MPF is composed with the Eq. (15) telescoping argument""]","exact Pauli recurrence would require 365785 transitions at order 4, above cap 250000; remaining orders use Mizuta 2026 Eq. (8)",14.0,3.0,True,True,"{""2"":1732.800000000002,""3"":28402.56000000006,""4"":37504649.54880013,""5"":3780468674.519053,""6"":476339052989.4002,""7"":72022464811997.78,""8"":1.2704762792836386e+16,""9"":2.5612801790358205e+18,""10"":5.808983446053232e+20,""11"":1.4638638284054056e+23,""12"":4.057830532339835e+25,""13"":1.227087952979572e+28,""14"":4.0199401339610606e+30}",repeated-shared-ancilla-good-block,True,False,0.09000000000000001,new,"[1,2,3,4,5,9,22]","[2.9953607852158573e-09,-2.9318124556219793e-05,0.003468573778195489,-0.04863485570038276,0.1308718708891307,-0.4341006887393225,1.3484244149015747]",1.965529725128523,0.034470274871476914,46.0,registered-exact,True,7.0,3.0,2.0,4.0,9.0,7.0,6.0,3.0,2.0,3.0,2.0,one robust OAA round per segment,56373.0,branch register all-zero,,69.0,7613399142.0,5129943.0,-1.0,944082013380.0,13327583171.0,analytical-model,0.010000000000000002,,,,,,,,,,,,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
1.0,heisenberg_chain:N062,-1.1,commutator,49368.0,,,2.0,a8fa234e-a646-4911-8402-a67c302db4ae,2026-08-12T00:11:58.358108+00:00,c1ad72de628f71283ac69037e9bbe97c3e773952f5abde5eac91397ca322d1a6,resource-grid,heisenberg_chain,Heisenberg-62,"{""coupling"":1.0,""field_z"":0.3}",62,62.0,proportional,1.0,0.07943282347242814,201.6000000000007,245,trotter-p2,trotter,Trotter p=2,analytical,analytical,2.0,,,,,,49368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,individual,245.0,0.07148668237991496,731.0399999999985,childs-commutator,"Childs, Su, Tran, Wiebe, and Zhu, arXiv:1912.08854",Propositions 9--10,"{""prefactor"":731.0399999999985}",True,implemented-product-formula,True,,"[""the resolved ordered Hamiltonian groups match the implemented formula""]",,,,,,,implemented-product-formula,True,True,0.07148954112518532,,,,,,,,,,,,,,,,,,,1.0,none,0.0,system register,1.0,62.0,24140952.0,0.0,-1.0,2414095200.0,36063627.0,analytical-model,0.007943282347242814,,,,,,,,,,,,0.1.0,3.11.9,2.5.0,b58b31db18364511c43757e27fffc7abce8df2c1,True,ok,,
